specialist,dev_period,dev_trades,dev_wr,dev_pf,dev_net,dev_verdict,holdout_period,holdout_trades,holdout_wr,holdout_pf,holdout_net,holdout_verdict,branch,notes
baseline_short_vwap,2020-05:2023-12,3330,0.5441,1.3265,726.41,marginal,2024-01:2024-12,902,0.5388,1.4391,225.52,marginal,"",""
cvd_signals,2020-05:2023-12,0,0.0,0.0,0.0,marginal,2024-01:2024-12,0,0.0,0.0,0.0,marginal,"",""
macro_events,2020-05:2023-12,135,0.3481,0.8011,-582.12,negative,2024-01:2024-12,33,0.4848,1.8024,372.13,negative,"",""
microstructure,2020-05:2023-12,0,0.0,0.0,0.0,marginal,2024-01:2024-12,0,0.0,0.0,0.0,marginal,"",""
ml_ranker,2020-05:2023-12,1372,0.4905,0.9594,-71.0,negative,2024-01:2024-12,269,0.5019,1.1504,42.56,marginal,"",""
momentum,2020-05:2023-12,4328,0.4344,1.0482,7020.32,negative,2024-01:2024-12,1220,0.4131,1.0706,2552.04,negative,"",""
regime,2020-05:2023-12,0,0.0,0.0,0.0,marginal,2024-01:2024-12,0,0.0,0.0,0.0,marginal,"",""
risk_manager,2020-05:2023-12,0,0.0,0.0,0.0,marginal,2024-01:2024-12,0,0.0,0.0,0.0,marginal,"",""
volume_profile,2020-05:2023-12,5608,0.7488,0.9079,-1390.4,negative,2024-01:2024-12,1549,0.7489,1.0526,186.51,marginal,"",""
vwap_extended,2020-05:2023-12,3480,0.1592,1.3057,3042.37,negative,2024-01:2024-12,860,0.1558,1.1243,331.94,negative,"",""
